asset_version_id,asset_id,client_name,default_vintage_model_id,name_y,version_actif,type,status,asset_building_type,surface,accessible_entrance,accessible_lift,accessible_toilets,aem,air_conditioning_system,air_filtration,alt_gen,appli_security,asbestos,auditorium,bim_and_buildings_structure_data,bms_light,bms_thermal,carcass,caretaker,catering,ceiling_height,central,central_core_elevator_lobby_ccel,circulation,co2_hvac,co2_parking,compliance_score,corridor,data_security,daylight,dead_spaces,delivery,digital_services,double_glazing,elevator_distribution,end_point_security,energy_diagnosis,entrance,external_acoustic_insulation,external_structure,facade,fibre_distribution,fibre_equipment,fire_detection,fire_protection_systems,flood_resist,freight_elevator,garden_and_atrium,hermetic_envelope,hotel,hvac_age,hvac_obsolescence,hygrometry,industrial_technological_resist,inter_slab,internal_acoustic_insulation,internal_structure,internet_redundancy,internet_type,itc,last_refurbishment,lead,light_control,lighting_obsolescence,lobby,max_dens,meeting_zone,mining_resist,mobile_phone_signal,multifamily,network_security,nursery,parkings,physical_security,pml_seismic,proximity,public_access,raised_floor,reception,refurbishment_workspace,renewable_energy,restaurant,retail,reverberation,secure_telecom,secured_spaces,signature,smoke,south,spare_capacity,stairs,steps,suspended_ceiling,systems_back_up,telecom_age,terminal,terrace,thickness,training_room,transfer,transparency,typhoon_resist,upper_transfer,ups,ventilation,versatility_of_spaces,vertical_ways,view,voc_reduction,wall_insulation,wastes_sorting,water_obsolescence,water_recycling
8051,957,SFL,12,Edouard VII,V4,BaseAssetVersion,ACTUAL,HAUSSMANIEN,29110,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,0,0,1,1,0,-1,1,0,1,0,0,1,1,2,0,1,,1,1,0,1,-2,-2,1,,-2,1,-1,1,1,1,1,0,1,-2,0,,1,,1,1,1,0,0,1,2,-1,1,0,1,2,0,1,1,1,1,0,1,1,2,1,-1,0,0,1,-2,-1,2,-2,1,0,-1,,0,2,0,0,1,2,0,0,1,1,0
8030,953,SFL,12,106 Haussmann,V4,BaseAssetVersion,ACTUAL,STANDARD,13251,0,0,0,0,2,1,2,,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,0,0,1,1,0,0,1,-2,1,0,0,1,1,2,0,1,1,1,1,0,1,2,2,1,,-1,1,-1,,1,1,2,0,1,2,2,2,1,,1,1,,0,-1,1,2,0,1,0,1,2,0,-1,-1,1,1,0,,,1,1,-1,0,0,1,2,-1,2,-2,0,-1,-1,,0,2,0,0,1,2,2,0,1,1,0
8061,973,SFL,12,Le Vaisseau,V5,BaseAssetVersion,ACTUAL,STANDARD,6404,0,0,0,0,2,1,2,1,0,0,-2,2,2,0,1,1,-2,0,1,0,2,0,1,0,1,1,0,1,-1,0,0,-1,,0,0,0,-1,1,2,0,1,1,1,1,0,1,1,0,-1,,-2,1,0,0,1,1,-2,0,1,0,2,1,1,-1,1,1,1,0,0,1,2,2,0,-1,1,2,0,1,-1,-1,1,0,1,1,1,1,0,0,0,1,0,-1,2,1,1,0,0,,0,2,0,0,1,1,1,0,1,1,0
8035,976,SFL,12,131 Wagram,V4,BaseAssetVersion,ACTUAL,STANDARD,9200,0,0,0,0,2,1,2,1,0,0,-2,2,2,0,1,1,-1,0,0,0,2,2,1,0,1,2,0,1,-1,0,0,1,,1,0,0,1,1,2,0,1,,1,1,0,1,-1,-2,-1,,-1,1,-1,1,1,0,-2,0,0,-2,2,,1,,1,1,1,0,0,1,2,0,0,0,1,-2,0,-1,-1,1,1,0,0,0,1,1,0,0,0,1,2,0,2,0,0,-1,1,,0,2,0,0,1,2,2,0,1,1,0
8005,660,SFL,12,Cloud,V3,BaseAssetVersion,ACTUAL,STANDARD,38000,0,0,0,,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,-2,0,1,1,0,0,1,1,2,0,0,2,1,2,0,1,1,0,1,0,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,2,-1,1,-1,1,1,1,0,0,1,2,0,1,0,1,2,1,1,-1,1,1,0,1,1,1,1,0,0,0,1,1,-1,2,-2,1,0,-1,,0,2,0,0,1,2,1,0,1,1,1
8001,661,SFL,12,Cezanne,V2,BaseAssetVersion,ACTUAL,STANDARD,22300,0,0,0,0,2,1,2,-1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,-1,1,0,1,1,0,0,-1,,1,0,0,1,1,2,0,1,,1,1,0,1,-1,2,1,,1,1,1,0,1,1,2,0,1,2,2,0,1,-1,1,1,-1,0,-1,1,2,-1,1,0,1,2,0,1,-1,1,1,0,1,1,0,1,0,0,0,,2,-1,2,-2,0,0,0,,0,2,0,0,1,2,2,0,1,1,0
8017,951,SFL,12,90 Champs Elysees,V2,BaseAssetVersion,ACTUAL,STANDARD,7912,0,0,0,0,2,1,0,1,0,0,1,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,-2,0,1,1,0,-1,1,-1,1,-1,0,1,1,2,0,1,,1,1,0,1,1,1,-1,,-1,1,0,1,1,1,0,0,1,1,1,0,1,-1,1,1,1,0,0,1,2,2,0,0,1,2,0,1,1,1,1,0,,1,1,1,-1,0,0,1,0,-1,2,-2,0,,-1,,0,0,0,0,1,2,1,0,1,1,0
8021,952,SFL,12,92 Champs Elysees,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,7198,0,0,0,0,2,1,2,1,0,0,1,2,2,0,1,1,2,0,1,0,2,,1,0,1,1,0,1,1,0,0,1,-1,1,0,0,2,1,2,0,1,,1,1,0,1,1,2,-1,,1,1,-1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,0,-1,1,2,1,0,0,1,2,0,-1,1,-1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,,-1,,0,0,0,0,1,2,0,0,1,1,1
7991,619,SFL,12,176 CDG,V4,BaseAssetVersion,ACTUAL,STANDARD,10728,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,0,0,2,0,1,0,1,1,0,1,1,0,-1,1,,1,0,0,0,,2,0,1,,0,1,0,1,2,2,,,-1,1,0,1,1,1,2,0,0,2,2,-1,1,,,1,1,0,0,1,2,2,1,,1,2,0,-1,-1,,1,0,,,1,,-1,0,0,,2,-1,2,-2,1,-1,0,,0,2,0,0,1,1,,0,1,1,0
8025,954,SFL,12,103 Rue de Grenelle,V4,BaseAssetVersion,ACTUAL,STANDARD,16084,0,0,-1,0,2,1,0,1,0,1,-2,2,2,0,1,1,-1,-1,1,0,2,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,2,1,2,0,1,,1,1,0,1,-1,-1,1,,-1,1,-1,1,1,1,-2,0,,1,1,2,1,,1,1,1,0,0,1,2,-1,0,0,1,2,0,1,-1,1,1,0,1,0,1,1,0,0,0,1,-2,0,2,-2,1,-1,0,,0,2,0,0,1,2,,0,1,1,
8106,955,SFL,12,Biome,V4,BaseAssetVersion,ACTUAL,STANDARD,22900,0,0,0,0,2,1,2,1,0,1,1,2,2,0,1,1,-1,0,1,0,2,0,1,0,1,1,0,1,1,0,-1,1,2,1,0,0,1,1,2,0,1,1,1,1,0,1,2,2,1,,-1,1,0,1,1,1,2,0,1,2,1,0,1,,1,1,1,0,-1,1,2,-1,1,0,1,2,1,1,-1,1,1,0,1,1,1,1,0,0,0,1,2,-1,2,0,1,-1,1,,0,2,0,0,1,2,2,0,1,1,1
8094,977,SFL,12,Condorcet,V4,BaseAssetVersion,ACTUAL,HAUSSMANIEN,24975,0,0,0,0,1,1,2,,0,0,-1,1,1,-1,1,1,-1,0,1,0,2,0,1,0,1,2,0,1,1,0,-1,1,,1,0,0,1,1,2,0,1,,1,1,0,1,2,2,-1,,-1,1,-1,1,1,1,1,0,1,,1,-2,1,-1,1,1,1,0,-1,1,2,0,0,-1,1,1,0,1,-1,1,1,0,0,1,1,-1,-1,0,0,1,0,-1,1,-2,1,0,-2,,0,2,0,0,1,0,2,-1,1,1,0
8064,956,SFL,12,Hanovre,V4,BaseAssetVersion,ACTUAL,STANDARD,4607,0,0,0,-1,2,1,0,,0,0,-2,0,0,0,1,1,-1,0,1,0,2,,1,0,1,-1,0,-1,1,0,0,1,,2,0,0,2,,2,0,1,-1,1,1,0,1,0,2,-1,,-1,,2,0,1,1,2,0,1,2,1,-2,1,-1,1,1,1,0,-1,1,2,-2,0,-1,1,1,0,-1,-1,1,1,0,1,0,1,,-1,0,0,,-1,-1,2,1,1,,2,,0,2,0,0,1,2,,0,1,1,0
8074,974,SFL,12,Louvre Saint Honore,V3,BaseAssetVersion,ACTUAL,STANDARD,26163,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,0,1,0,1,0,0,1,1,0,0,-1,,1,0,0,1,1,2,0,1,-1,1,1,0,1,-1,0,-1,,1,1,0,1,1,1,-2,0,1,0,1,0,1,-1,1,1,,0,0,1,2,1,0,0,1,2,,1,1,1,1,0,1,0,1,1,-1,0,0,1,0,-1,0,-2,1,0,-2,,0,2,0,0,1,2,2,0,1,1,0
8086,975,SFL,12,Rive de Seine,V2,BaseAssetVersion,ACTUAL,TOUR_IGH,20270,0,0,0,-1,2,1,2,-1,0,0,-1,2,2,0,1,1,-1,0,1,0,2,2,1,,1,0,0,1,-1,0,0,1,,1,0,0,1,,2,0,1,-1,1,1,0,1,-1,-1,1,,-2,1,-1,1,1,1,-2,0,1,-2,2,-2,1,-1,1,1,1,0,0,1,2,2,1,0,1,-2,0,1,-1,1,1,0,1,1,1,1,-1,0,-1,1,,-1,1,-2,0,0,-1,,0,2,0,0,1,1,,0,1,1,0
8013,664,SFL,12,83 Marceau,V5,BaseAssetVersion,ACTUAL,STANDARD,9669,0,0,0,0,2,1,2,1,0,1,1,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,2,0,1,1,0,0,1,1,1,0,0,1,1,2,0,1,,0,1,0,1,2,2,-1,,-1,1,1,1,1,1,2,0,1,2,2,0,1,-1,1,1,1,0,0,1,2,1,1,0,1,2,0,-1,-1,1,1,0,1,1,0,-1,0,0,0,1,2,-1,2,-1,1,-1,2,,0,2,0,0,1,2,,0,1,1,1
8009,638,SFL,12,Washingtonplaza,V2,BaseAssetVersion,ACTUAL,STANDARD,46966,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-2,0,1,0,2,2,1,0,1,0,0,1,1,0,0,1,-1,2,0,0,1,1,2,0,1,,1,1,0,1,-2,0,1,,-1,1,1,0,1,1,-2,0,1,0,2,-1,1,-1,1,1,1,0,0,1,2,-1,1,0,1,2,0,1,-1,1,1,0,1,1,0,1,0,0,0,1,-2,-1,2,-2,1,0,0,,0,2,0,0,1,2,1,0,1,1,1
8622,839,Covea,12,38 Kleber,V2,BaseAssetVersion,ACTUAL,STANDARD,16625,0,0,0,,,,2,,0,1,,2,2,0,1,1,,0,1,-1,,,1,0,,2,0,1,1,0,-1,,2,2,,0,1,,2,,,,0,1,0,1,2,2,1,,,,1,1,1,,2,0,,2,2,0,1,,1,1,,0,-1,-1,2,-2,,0,1,2,1,1,-1,1,1,0,0,0,0,,-1,0,0,,2,-1,2,-1,0,0,-1,,0,,0,0,1,2,,0,1,,
8627,823,Covea,12,Le Themis,V2,BaseAssetVersion,ACTUAL,STANDARD,10299,0,0,0,,2,,,,0,0,,2,2,0,1,1,-1,0,1,-1,,,1,0,,0,0,1,,0,-1,,1,1,,1,1,,0,0,,,0,0,0,1,2,2,,,0,,0,,1,,2,0,,2,2,0,1,,,1,,0,-1,1,2,-2,,0,1,2,1,-1,-1,1,,0,,,1,,0,0,0,,2,-1,1,-2,1,-1,2,,0,,0,0,1,0,,0,1,,
8657,810,Schneider Electric,12,Hive,V3,BaseAssetVersion,ACTUAL,STANDARD,35000,0,0,0,0,2,1,2,1,0,1,-2,2,2,0,1,1,-1,0,1,0,2,2,1,0,1,2,0,1,1,0,0,1,-1,2,0,1,1,-1,0,0,1,1,1,1,-2,1,-1,-1,1,,-1,1,1,1,0,1,-2,0,1,-1,2,-2,1,,1,1,1,1,0,1,2,0,1,0,1,-1,0,1,-1,1,1,0,1,1,2,1,0,0,0,1,-2,0,2,1,1,0,2,,0,1,0,0,1,0,2,0,1,1,0
8727,726,Poste Immo,12,111 Bd Brune,V2,BaseAssetVersion,ACTUAL,STANDARD,43650.24,0,0,0,-1,2,1,0,1,0,0,-2,2,2,0,1,1,1,0,1,0,,2,1,0,1,1,0,1,1,0,-1,1,-2,1,,0,0,1,2,0,0,,1,1,0,1,-2,1,-1,,1,,1,0,1,1,-2,0,0,2,1,-2,1,,1,1,1,1,0,1,2,-2,1,-1,1,-2,0,1,-1,-1,1,0,1,1,1,1,-1,0,0,,-2,0,1,-2,1,0,1,,0,2,0,0,1,0,2,0,1,-1,0
8631,715,DTZ,12,Equinox,V2,BaseAssetVersion,ACTUAL,STANDARD,24992,0,0,0,0,2,1,0,-1,0,0,-2,1,1,0,1,1,-1,0,1,0,1,0,1,0,-1,1,0,1,-1,0,0,-1,-1,1,0,0,1,-1,2,0,0,-1,0,0,0,1,1,0,-1,,0,-1,0,0,1,1,-2,0,0,0,2,-1,1,,1,1,-1,0,0,1,2,-1,0,0,1,2,0,1,-1,1,1,0,0,1,2,-1,0,0,0,1,0,-1,2,-2,0,0,0,,0,0,0,0,1,0,0,0,0,1,1
8663,714,DTZ,12,Mozaik,V2,BaseAssetVersion,ACTUAL,STANDARD,19000,0,0,0,0,2,1,2,1,0,1,-2,1,1,0,1,1,-1,0,1,0,1,1,1,0,-1,2,0,1,1,0,0,-1,-1,1,-2,1,1,1,2,0,0,,1,1,0,1,1,1,1,,-2,-1,1,1,1,1,0,0,1,1,2,-1,1,,1,1,1,0,0,1,2,0,2,0,1,2,1,1,-1,1,1,0,1,0,1,-1,0,0,0,1,0,0,2,-2,0,0,1,,-1,2,0,0,1,0,2,0,1,-1,0
8123,680,RQR,12,Chateaudun Simulation,V2,BaseAssetVersion,ACTUAL,,,0,0,0,-1,1,,1,,0,0,-1,0,1,-1,1,-1,-1,0,1,0,,,1,0,,1,0,1,,0,0,,0,1,0,0,1,,0,0,0,,0,1,0,1,-2,-2,,,0,,-1,,0,0,-2,0,0,-1,-1,0,1,,,-1,,0,0,,,0,,0,1,-1,0,1,1,,1,-1,0,0,0,,0,0,0,,-2,-1,1,1,1,-1,-1,,-1,1,0,0,,0,,0,1,,
7949,678,Allianz,12,40 Rhodanie,V2,BaseAssetVersion,ACTUAL,STANDARD,11611,0,0,0,0,2,-1,,1,0,0,,1,1,,1,1,,0,1,0,,1,1,0,,0,0,1,,0,0,,,1,0,0,1,1,1,,,,0,0,,1,0,0,,,0,1,1,,1,1,-1,0,1,0,1,,1,,-1,1,,0,0,1,2,-1,1,0,1,0,0,-1,-1,1,1,0,0,0,2,,-1,0,0,,-1,-1,2,-1,1,0,0,,0,,0,0,1,1,,0,,,1
8402,613,Allianz,12,Lindenstr67,V2,BaseAssetVersion,ACTUAL,STANDARD,39321,0,0,0,0,1,1,0,1,0,0,,1,1,0,0,-1,-1,0,0,0,0,0,1,0,-1,0,0,1,,0,-1,-1,1,1,0,0,0,,0,0,1,,0,1,,1,-1,-2,,,0,,0,,0,,2,0,,-2,0,,1,,,1,1,0,0,1,2,-2,,,1,-2,0,-1,-1,,,0,0,0,1,,-1,0,,,-2,-1,1,2,0,-1,-1,,0,2,0,0,1,0,,0,1,1,
8388,612,Allianz,12,Eberhardstrasse31,V2,BaseAssetVersion,ACTUAL,STANDARD,14958,0,0,-1,0,0,1,,,0,0,,,1,,1,1,-2,0,0,0,0,0,1,0,,2,0,1,,0,-1,,0,0,,0,-1,,0,0,1,,,1,-2,1,-2,-2,,,0,,0,,1,1,-1,0,,-2,2,,,,,1,,,,,2,-2,,-1,1,-2,0,1,-1,,,0,,,2,,-1,0,0,,-2,-1,1,-2,,0,-2,,0,,0,0,1,0,,0,1,-1,0
8381,611,Allianz,12,Atlas,V3,BaseAssetVersion,ACTUAL,TOUR_IGH,26205,-1,0,0,0,2,1,2,,0,0,,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,-1,0,0,,0,1,0,0,2,1,0,0,1,,0,1,0,1,2,2,-1,-1,0,-1,1,1,1,1,2,0,1,2,1,-1,1,-1,1,1,1,0,0,1,2,-2,2,0,1,2,1,1,-1,1,,0,0,1,1,1,-1,0,0,,2,-1,2,2,0,0,1,,0,2,0,0,1,1,1,0,1,1,0
8626,162,La Française,12,Carre Feydeau,V2,BaseAssetVersion,ACTUAL,STANDARD,2559,0,0,0,0,2,,0,,0,,,1,1,0,,,,0,0,0,,0,1,0,,-2,0,,,0,-1,,-1,0,,0,0,,2,0,0,,0,1,0,1,-2,-2,,,,,0,,1,0,,0,0,0,0,1,,,,1,,,,,2,-2,,-1,,1,0,,1,,,0,0,0,0,,0,0,0,,,0,1,1,,0,0,,0,0,0,-1,,2,,0,1,-1,0
8618,156,Nuveen,12,36 La Fayette,V4,BaseAssetVersion,ACTUAL,STANDARD,,0,0,0,0,2,1,0,1,0,1,0,1,1,0,1,1,-1,0,1,0,1,,1,0,1,2,0,1,1,0,0,1,1,1,0,0,1,1,2,0,0,,1,1,0,1,2,2,-1,,0,1,-1,1,1,1,2,0,1,2,2,2,1,,1,1,1,0,-1,1,2,-2,1,-1,1,2,1,-1,-1,1,1,0,0,1,1,1,0,0,0,1,2,-1,0,-2,1,,-1,,0,1,0,0,1,1,1,0,1,1,0
8441,145,Groupama,12,Diamant,V2,BaseAssetVersion,ACTUAL,STANDARD,12929,0,0,0,0,1,1,0,1,0,1,-2,1,1,0,1,1,-1,0,1,0,1,0,1,0,1,1,0,1,1,0,-1,1,-1,1,0,0,1,1,2,0,0,,1,0,0,1,0,0,1,,-1,1,1,1,1,1,-2,0,0,0,1,-2,1,-1,1,1,1,0,0,1,2,-2,1,-1,1,0,0,1,-1,1,1,0,0,1,1,1,0,0,0,-1,-1,-1,0,-2,0,-1,0,,0,2,0,0,1,0,2,0,1,1,1
8440,144,Groupama,12,89 Niel,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,703,0,0,0,0,0,1,0,-1,0,0,-2,1,1,0,0,-1,0,0,1,0,0,,1,0,-1,-1,0,1,-1,0,-1,-1,,1,0,0,1,1,2,0,0,,0,1,0,1,0,-1,-1,,0,-1,-1,1,1,0,2,0,0,2,1,0,1,,1,1,-1,0,-1,1,2,-2,0,-1,1,2,0,-1,-1,-1,0,-1,0,0,2,,0,0,0,-1,-1,0,0,-1,0,,-2,,0,2,-1,0,1,0,0,0,1,-1,0
8098,142,Groupama,12,38Peletier,V2,BaseAssetVersion,ACTUAL,HAUSSMANIEN,2641,0,0,0,0,2,1,0,-1,0,0,-2,1,1,0,0,1,-1,0,0,0,,0,1,0,-1,2,0,1,-1,0,-1,-1,0,1,0,0,1,-1,2,0,0,,0,1,0,1,-2,-2,1,,-1,1,0,0,1,1,2,0,0,-2,1,2,1,,1,1,-1,0,0,-1,2,-2,1,-1,1,-2,0,-1,-1,1,1,0,0,1,2,,-1,0,0,-1,-2,-1,2,-1,0,0,-2,,0,2,0,0,1,0,0,0,1,1,1
8558,129,AEW,12,Seizame,V2,BaseAssetVersion,ACTUAL,STANDARD,12263,0,0,0,0,2,1,2,,0,1,0,1,1,,1,1,-1,-1,1,0,1,,1,0,,0,0,1,,0,0,,0,1,0,1,1,,1,0,1,,1,1,0,1,2,2,1,,,1,1,0,1,1,2,0,1,2,2,0,1,,,1,,1,0,,2,-2,2,-1,1,2,0,1,-1,1,0,0,1,0,1,1,-1,0,0,,,0,2,2,0,0,2,,0,2,0,0,1,1,2,0,1,1,1
8551,127,AEW,12,Le Focus,V3,BaseAssetVersion,ACTUAL,STANDARD,10123,0,0,0,0,2,1,0,,0,0,-2,1,1,-1,1,1,-1,0,1,0,0,0,1,0,,0,0,1,,0,0,,1,1,0,1,1,,1,0,1,,1,0,,1,1,0,,,-2,,1,,1,1,0,0,0,0,0,-1,1,,,1,,0,0,1,2,-2,0,0,1,2,0,-1,-1,1,,0,0,1,1,1,0,0,0,,,0,2,2,0,0,0,,0,2,0,0,1,1,2,-1,1,-1,0
8549,125,AEW,12,Bourse AMF,V2,BaseAssetVersion,ACTUAL,STANDARD,7073,-1,-1,-1,0,1,1,2,,0,0,-2,1,1,,1,1,-2,-1,1,0,1,1,1,0,,0,0,1,,0,0,,-1,1,,1,0,,2,0,1,,0,1,0,1,-1,-2,,,-2,,-1,0,1,1,-2,0,1,-2,1,-2,1,,,1,,0,0,1,2,-2,,-1,1,-2,1,-1,-1,,1,0,0,1,1,,-1,0,0,,,0,1,1,0,0,0,,0,2,0,0,,2,,0,1,1,1
8563,124,AEW,12,Tour W,V2,BaseAssetVersion,ACTUAL,TOUR_IGH,37793,0,0,0,0,2,,2,,0,0,-2,1,1,-1,0,1,-1,-1,1,0,0,0,1,0,,2,0,1,,0,0,,-2,1,,0,1,,1,0,1,,1,0,-1,1,-1,-2,,,,,2,,1,1,-2,0,0,-2,1,,1,,,1,,0,-1,,2,0,,0,1,2,0,1,-1,,1,0,0,1,2,,-1,0,0,,,0,0,-2,1,-1,2,,0,2,0,0,,1,,0,,,
8562,123,AEW,12,Tour Initiale,V2,BaseAssetVersion,ACTUAL,TOUR_IGH,33555.89,-1,-1,0,0,2,1,2,,0,1,1,1,1,0,1,1,-1,0,1,0,1,,1,0,,2,0,1,,0,0,,-2,1,-1,1,0,1,1,0,1,,1,0,0,-1,2,2,1,,,-1,1,1,1,0,2,0,1,2,1,-2,1,,,-1,,0,0,1,2,1,2,-1,1,2,0,1,1,-1,0,0,1,1,1,,-1,0,0,-1,2,-1,0,-2,0,0,0,,-1,2,0,0,1,0,,-1,1,-1,0
